Nombre Asignatura;Nota 1er Corte;Nota 2do Corte;Nota 3er Corte;Nota 4to Corte;Nota 5to Corte
¿CÓMO MONTAR UN EVENTO Y NO MORIR EN EL INTENTO?;4.7;3.4;4.1;;
¿CÓMO MONTAR UN EVENTO Y NO MORIR EN EL INTENTO?;4.7;4.6;4.8;;
¿CÓMO MONTAR UN EVENTO Y NO MORIR EN EL INTENTO?;5;5;4.8;;
¿CÓMO MONTAR UN EVENTO Y NO MORIR EN EL INTENTO?;4.7;3.9;4.1;;
ACTIVIDAD FÍSICA;4.2;4.7;4.4;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;5;5;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;4.5;5;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;4.8;4.6;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;4.5;4.8;4;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;4.8;4;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;4.5;4.8;4;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;4.6;5;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;4.6;5;;
AJEDREZ, JUEGO, CIENCIA Y ARTE;5;4.6;4.7;;
ALEMAN NIVEL I;4.9;3.9;3.9;;
ALEMAN NIVEL I;4.2;3.1;4;;
ALEMAN NIVEL I;3.9;5;4;;
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.6;3.9;4.6;2.9;3.4
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.3;3.7;5;4.5;3.1
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4.1;5;4.3;4.6;4.6
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4.8;4.8;4.8;5;3.5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.8;1.4;3.3;4.3;2.8
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;1.4;3.9;4.6;3.4;4
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;1.8;3.5;4.6;4.3;3.9
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.2;3.9;5;4.4;4.8
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.7;2.4;5;5;5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4.2;3.5;5;3.5;4.2
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.8;3.9;5;4.8;3.8
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4.7;4.4;5;4.8;4.5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.8;2.4;4.7;4.2;3.7
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.2;1.2;4.8;4.8;3.7
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.5;1.5;3.3;2.1;2.1
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.7;1;4.5;3.5;3.8
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4;3;4.8;3.5;3.2
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.8;3.1;3.8;4.2;3.4
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4.6;3.1;4.4;4.2;3.6
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.3;4.2;5;5;4.8
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.8;2.4;4.1;3.5;3.1
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.8;4.5;5;5;5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;5;5;5;5;5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4;4.6;4.8;4.9;3.5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.1;3.2;3.9;4.6;3
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.3;4.1;4.8;4.9;3
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;4.8;4.4;5;5;4.5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3.2;3;4.7;3.3;3
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;2.8;4.2;4.3;4.1;2.5
ÁLGEBRA ABSTRACTA Y CODIFICACIÓN;3;3.5;3.3;3.9;3
ÁLGEBRA LINEAL;4.5;3.5;4.1;3.6;4.7
ÁLGEBRA LINEAL;5;4.8;5;4.2;5
ÁLGEBRA LINEAL;4.6;2.7;3.6;4.3;3.5
ÁLGEBRA LINEAL;2.2;4.1;3.7;3.2;4.7
ÁLGEBRA LINEAL;4.5;4.9;5;4.9;4.1
ÁLGEBRA LINEAL;4.2;4.7;4.5;4.9;4.7
